"Offer No."	"Type"	"No."	"Variant Type"	"Variant Code"	"Exclude"	"Unit of Measure"	"Description"	"No. of Items Needed"	"Line Group"	"Deal Price/Disc. %"	"Disc. Type"	"Standard Price"	"Standard Price Including VAT"	"Discount Amount"	"Discount Amount Including VAT"	"Offer Price"	"Offer Price Including VAT"
"QAT-MM-00009"	"Item"	"5059726627867"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726627874"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726627881"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726627942"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726627959"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726627966"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726627973"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726627980"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726628048"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726628055"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726628062"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
